iter	Passed	Remaining
400	19333	52987
401	19384	52946
402	19435	52904
403	19485	52860
404	19537	52823
405	19598	52810
406	19649	52769
407	19699	52725
408	19751	52687
409	19803	52647
410	19855	52610
411	19907	52570
412	19956	52525
413	20005	52477
414	20055	52435
415	20106	52394
416	20159	52355
417	20207	52306
418	20256	52261
419	20308	52221
420	20360	52182
421	20412	52142
422	20464	52104
423	20515	52063
424	20566	52022
425	20618	51980
426	20668	51937
427	20720	51898
428	20771	51857
429	20822	51814
430	20875	51777
431	20926	51734
432	20975	51688
433	21024	51641
434	21074	51597
435	21123	51549
436	21172	51503
437	21225	51465
438	21280	51432
439	21330	51386
440	21379	51340
441	21430	51297
442	21481	51255
443	21532	51211
444	21583	51169
445	21631	51121
446	21683	51078
447	21735	51040
448	21786	50996
449	21837	50953
450	21888	50910
451	21942	50876
452	21994	50835
453	22044	50790
454	22080	50712
455	22129	50664
456	22178	50617
457	22229	50575
458	22276	50521
459	22328	50481
460	22379	50438
461	22431	50396
462	22483	50356
463	22542	50330
464	22591	50284
465	22642	50241
466	22692	50194
467	22744	50153
468	22792	50105
469	22848	50072
470	22900	50031
471	22956	49997
472	22985	49908
473	23035	49861
474	23084	49814
475	23136	49772
476	23185	49724
477	23236	49682
478	23287	49638
479	23340	49599
480	23391	49555
481	23417	49457
482	23468	49414
483	23519	49370
484	23569	49326
485	23620	49282
486	23656	49207
487	23705	49159
488	23757	49117
489	23791	49038
490	23843	48997
491	23895	48956
492	23947	48915
493	23995	48865
494	24045	48819
495	24096	48775
496	24144	48726
497	24193	48679
498	24246	48639
499	24296	48592
500	24348	48550
501	24399	48508
502	24449	48462
503	24500	48417
504	24552	48374
505	24581	48289
506	24629	48238
507	24679	48192
508	24732	48152
509	24782	48107
510	24830	48058
511	24886	48022
512	24938	47981
513	24988	47935
514	25040	47893
515	25090	47846
516	25120	47762
517	25170	47717
518	25213	47657
519	25261	47609
520	25313	47566
521	25365	47523
522	25417	47480
523	25465	47432
524	25519	47393
525	25557	47324
526	25607	47278
527	25657	47233
528	25708	47188
529	25758	47142
530	25810	47100
531	25860	47054
532	25914	47015
533	25965	46971
534	26015	46924
535	26064	46877
536	26115	46832
537	26163	46782
538	26213	46736
539	26263	46691
540	26314	46646
541	26364	46600
542	26418	46560
543	26468	46514
544	26521	46474
545	26570	46425
546	26624	46386
547	26674	46339
548	26729	46301
549	26778	46253
550	26816	46186
551	26852	46116
552	26891	46050
553	26941	46004
554	26976	45932
555	27025	45885
556	27076	45840
